city ward,year,residential accounts,annual residential usage,average residential usage,commercial accounts,annual commercial usage,average commercial usage,total count,total consumption,average consumption
1,2013," 	8,094 "," 	2,915,286.25 ", 	360.18 , 	162 ," 	4,702,237.33 "," 	29,026.16 "," 	8,256 "," 	7,617,523.58 ", 	922.67 
2,2013," 	10,327 "," 	3,290,050.93 ", 	318.59 , 	258 ," 	8,339,901.19 "," 	32,325.20 "," 	10,585 "," 	11,629,952.12 "," 	1,098.72 "
3,2013," 	10,612 "," 	2,537,828.03 ", 	239.15 , 	103 ," 	2,861,277.43 "," 	27,779.39 "," 	10,715 "," 	5,399,105.46 ", 	503.88 
4,2013," 	11,080 "," 	3,202,393.50 ", 	289.02 , 	93 ," 	2,395,270.74 "," 	25,755.60 "," 	11,173 "," 	5,597,664.24 ", 	501.00 
5,2013," 	14,968 "," 	3,988,364.93 ", 	266.46 , 	270 ," 	5,469,170.08 "," 	20,256.19 "," 	15,238 "," 	9,457,535.01 ", 	620.65 
6,2013," 	13,139 "," 	3,536,042.82 ", 	269.13 , 	182 ," 	5,780,240.82 "," 	31,759.56 "," 	13,321 "," 	9,316,283.64 ", 	699.37 
7,2013," 	9,817 "," 	3,244,589.28 ", 	330.51 , 	185 ," 	6,114,678.87 "," 	33,052.32 "," 	10,002 "," 	9,359,268.15 ", 	935.74 
8,2013," 	4,722 "," 	2,150,795.08 ", 	455.48 , 	236 ," 	9,005,959.22 "," 	38,160.84 "," 	4,958 "," 	11,156,754.30 "," 	2,250.25 "
9,2013," 	8,204 "," 	2,406,044.96 ", 	293.28 , 	124 ," 	2,630,413.68 "," 	21,213.01 "," 	8,328 "," 	5,036,458.64 ", 	604.76 
10,2013," 	8,924 "," 	3,195,052.68 ", 	358.03 , 	155 ," 	5,099,808.65 "," 	32,901.99 "," 	9,079 "," 	8,294,861.33 ", 	913.63 
11,2013," 	11,584 "," 	3,154,674.51 ", 	272.33 , 	142 ," 	5,678,799.68 "," 	39,991.55 "," 	11,726 "," 	8,833,474.19 ", 	753.32 
