codedesc,violationdesc,ratio
Japanese,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,3.24417366330397
Café/Coffee/Tea,Choking first aid poster not posted. Alcohol and pregnancy warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric) latex gloves sign not posted. Inspection report sign not posted.,3.15285423161158
"Juice, Smoothies, Fruit Salads",Food Protection Certificate not held by supervisor of food operations.,3.08957628705475
Donuts,Accurate thermometer not provided in refrigerated or hot holding equipment.,3.03730249834346
"Ice Cream, Gelato, Yogurt, Ices",Food Protection Certificate not held by supervisor of food operations.,2.95594913714805
Thai,Thawing procedures improper.,2.63299433021334
Irish,Raw cooked or prepared food is adulterated contaminated cross-contaminated or not discarded in accordance with HACCP plan.,2.36930496752111
Mexican,Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours and from 70º F to 41º F or less within 4 additional hours.,2.32607908317017
Indian,Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours and from 70º F to 41º F or less within 4 additional hours.,2.25898393319183
Chinese,Thawing procedures improper.,2.19710334585565
Caribbean,Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours and from 70º F to 41º F or less within 4 additional hours.,2.10842676311031
Hamburgers,Accurate thermometer not provided in refrigerated or hot holding equipment.,2.09468959087063
Soups & Sandwiches,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,2.09151503687375
Chinese,Food worker does not wash hands thoroughly after using the toilet coughing sneezing smoking eating preparing raw foods or otherwise contaminating hands.,2.08657167987792
American,"""""No Smoking and/or 'Smoking Permitted sign not conspicuously posted. Health warning not present on 'Smoking Permitted",2.07985737168507
Donuts,Bulb not shielded or shatterproof in areas where there is extreme heat temperature changes or where accidental contact may occur.,2.06489640423623
Middle Eastern,Food Protection Certificate not held by supervisor of food operations.,1.9850440015702
Spanish,Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours and from 70º F to 41º F or less within 4 additional hours.,1.90087901673903
Hamburgers,Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies little house flies blow flies bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies drain flies and Phorid flies.,1.89564345419205
Café/Coffee/Tea,Toilet facility not maintained and provided with toilet paper waste receptacle and self-closing door.,1.88364209298159
Donuts,Food contact surface not properly maintained.,1.86877977453894
Pizza/Italian,Hot food item not held at or above 140º F.,1.8251816284583
"Ice Cream, Gelato, Yogurt, Ices",Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,1.81536059600946
Café/Coffee/Tea,Food Protection Certificate not held by supervisor of food operations.,1.79293788659614
Japanese,Thawing procedures improper.,1.7858644757362
Donuts,Sanitized equipment or utensil including in-use food dispensing utensil improperly used or stored.,1.77963247759718
Sandwiches,Food Protection Certificate not held by supervisor of food operations.,1.77865592724359
Chinese,Live roaches present in facility's food and/or non-food areas.,1.75351275468661
Japanese,Wiping cloths soiled or not stored in sanitizing solution.,1.74596187790808
Chicken,The original nutritional fact labels and/or ingredient label for a cooking oil shortening or margarine or food item sold in bulk or acceptable manufacturers documentation not maintained on site.,1.7340135904754
"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours and from 70º F to 41º F or less within 4 additional hours.,1.73238069196499
Chinese/Japanese,Hot food item not held at or above 140º F.,1.71110060068908
Donuts,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed raised spaced or movable to allow accessibility for cleaning on all sides above and underneath the unit.,1.66174560294795
Thai,Live roaches present in facility's food and/or non-food areas.,1.66140054869003
Caribbean,Hot food item not held at or above 140º F.,1.66046801544905
American,Ashtray present in smoke-free area.,1.65485385684782
Chinese,Hot food item not held at or above 140º F.,1.64032912222766
Chicken,Food Protection Certificate not held by supervisor of food operations.,1.63898802437178
